masse_A
t	x	y
0.200	0.010	0.012
0.267	0.008	0.020
0.333	0.006	0.027
0.400	0.014	0.028
0.467	0.014	0.027
0.533	0.017	0.030
0.600	0.014	0.027
0.667	0.011	0.027
0.733	0.013	0.028
0.800	0.012	0.028
0.867	0.003	0.026
0.933	0.002	0.026
1.000	0.002	0.015
1.067	0.001	0.012
1.133	0.006	0.006
1.200	0.019	0.004
1.267	0.048	-0.004
1.333	0.087	-0.007
1.400	0.159	-0.007
1.467	0.220	-0.007
1.533	0.288	0.001
1.600	0.377	0.008
1.667	0.402	0.014
1.733	0.436	0.016
1.800	0.450	0.024
1.867	0.447	0.030
1.933	0.446	0.037
2.000	0.436	0.060
2.067	0.420	0.070
2.133	0.414	0.065
2.200	0.415	0.056
2.267	0.419	0.046
2.333	0.412	0.056
2.400	0.402	0.054
2.467	0.396	0.058
2.533	0.389	0.059
2.600	0.386	0.061
2.667	0.388	0.051
2.733	0.390	0.030
2.800	0.388	0.015
2.867	0.388	0.003
2.933	0.390	-0.013
3.000	0.395	-0.017
3.067	0.394	-0.023
3.133	0.398	-0.022
3.200	0.398	-0.004
3.267	0.404	0.004
3.333	0.419	0.039
3.400	0.443	0.097
3.467	0.468	0.183
3.533	0.479	0.283
3.600	0.484	0.383
3.667	0.479	0.506
3.733	0.461	0.640
3.800	0.441	0.767
3.867	0.429	0.883
3.933	0.427	0.976
4.000	0.425	1.029
4.067	0.419	1.054
4.133	0.400	1.065
4.200	0.393	1.065
4.267	0.383	1.072
4.333	0.380	1.078
4.400	0.383	1.072
4.467	0.386	1.066
4.533	0.387	1.067
4.600	0.384	1.067
4.667	0.379	1.069
4.733	0.379	1.067
4.800	0.379	1.067
4.867	0.379	1.058
4.933	0.369	1.046
5.000	0.357	1.010
5.067	0.354	0.932
5.133	0.362	0.832
5.200	0.388	0.713
5.267	0.415	0.583
5.333	0.420	0.453
5.400	0.392	0.334
5.467	0.361	0.233
5.533	0.350	0.153
5.600	0.347	0.088
5.667	0.354	0.053
5.733	0.361	0.027
5.800	0.367	0.024
5.867	0.369	0.022
5.933	0.368	0.022
6.000	0.367	0.014
6.067	0.366	0.013
6.133	0.366	0.008
6.200	0.366	0.004
6.267	0.363	0.009
6.333	0.363	0.009
6.400	0.366	0.015
