masse_A
time	x	y	v_{x}	v_{y}
0.067	-0.003	-0.008	0	0
0.133	-0.005	0.007	-0.061	0.208
0.200	-0.012	0.020	-0.087	0.113
0.267	-0.016	0.022	-0.052	-0.069
0.333	-0.018	0.010	-0.017	-0.147
0.400	-0.018	0.002	0.000	-0.156
0.467	-0.018	-0.010	-0.087	-0.113
0.533	-0.030	-0.013	-0.199	-0.009
0.600	-0.045	-0.012	-0.225	0.035
0.667	-0.060	-0.008	-0.390	-0.000
0.733	-0.097	-0.012	-0.675	0.009
0.800	-0.150	-0.007	-0.762	0.095
0.867	-0.198	0.001	-0.770	0.121
0.933	-0.253	0.009	-0.736	0.164
1.000	-0.297	0.023	-0.502	0.173
1.067	-0.320	0.032	-0.320	0.147
1.133	-0.339	0.043	-0.199	0.095
1.200	-0.346	0.045	-0.035	0.061
1.267	-0.344	0.051	0.052	0.026
1.333	-0.339	0.048	0.087	0.052
1.400	-0.332	0.058	0.095	0.095
1.467	-0.327	0.061	0.069	-0.000
1.533	-0.323	0.058	0.052	0.026
1.600	-0.320	0.065	0.026	0.052
1.667	-0.320	0.065	0.009	-0.000
1.733	-0.319	0.065	-0.009	0.061
1.800	-0.321	0.073	0.009	0.009
1.867	-0.317	0.066	0.095	-0.061
1.933	-0.308	0.065	0.104	-0.017
2.000	-0.304	0.063	0.035	0.009
2.067	-0.304	0.066	-0.052	0.035
2.133	-0.310	0.068	-0.234	0.035
2.200	-0.335	0.070	-0.528	0.043
2.267	-0.381	0.074	-0.935	0.087
2.333	-0.459	0.082	-1.169	0.190
2.400	-0.537	0.099	-1.238	0.398
2.467	-0.624	0.135	-1.117	0.519
2.533	-0.686	0.168	-1.039	0.320
2.600	-0.763	0.178	-0.831	0.061
2.667	-0.796	0.177	-0.355	0.121
2.733	-0.810	0.194	-0.078	0.104
2.800	-0.807	0.190	0.052	-0.043
2.867	-0.803	0.188	0.026	-0.000
2.933	-0.803	0.190	0.017	-0.052
3.000	-0.801	0.181	0.009	-0.087
3.067	-0.802	0.179	0.035	-0.061
3.133	-0.796	0.173	0.052	-0.035
3.200	-0.795	0.174	0.035	-0.009
3.267	-0.792	0.172	0.026	0.052
3.333	-0.792	0.181	0.043	0.173
3.400	-0.786	0.195	0.104	0.087
3.467	-0.778	0.193	0.164	-0.043
3.533	-0.764	0.189	0.424	-0.113
3.600	-0.721	0.178	0.805	-0.225
3.667	-0.657	0.159	1.091	-0.303
3.733	-0.576	0.137	1.298	-0.268
3.800	-0.484	0.123	1.246	-0.190
3.867	-0.410	0.112	0.892	-0.173
3.933	-0.365	0.100	0.554	-0.035
4.000	-0.336	0.107	0.260	0.069
4.067	-0.330	0.110	0.061	0.043
4.133	-0.328	0.113	0.000	0.121
4.200	-0.330	0.126	-0.009	0.078
4.267	-0.329	0.123	0.009	-0.035
4.333	-0.329	0.121	-0.009	-0.052
4.400	-0.330	0.117	-0.009	-0.095
4.467	-0.330	0.108	0.026	-0.095
4.533	-0.327	0.104	0.026	-0.017
4.600	-0.327	0.106	0.017	0.017
4.667	-0.324	0.106	0.017	-0.000
4.733	-0.324	0.106	0.000	-0.000
4.800	-0.324	0.106		
