masse_A
t	x	y	v_{x}	v_{y}
0.533	-0.001	0.008	0	0
0.600	-0.005	-0.014	-0.098	-0.228
0.667	-0.014	-0.023	-0.097	-0.019
0.733	-0.018	-0.017	-0.038	0.122
0.800	-0.019	-0.007	-0.019	0.166
0.867	-0.021	0.005	-0.024	0.141
0.933	-0.023	0.012	-0.048	0.088
1.000	-0.027	0.017	-0.117	0.001
1.067	-0.038	0.012	-0.248	0.006
1.133	-0.060	0.018	-0.477	0.027
1.200	-0.102	0.016	-0.676	-0.040
1.267	-0.150	0.012	-0.720	-0.060
1.333	-0.198	0.008	-0.726	-0.137
1.400	-0.247	-0.006	-0.726	-0.201
1.467	-0.295	-0.019	-0.555	-0.153
1.533	-0.321	-0.026	-0.341	-0.130
1.600	-0.340	-0.036	-0.220	-0.130
1.667	-0.350	-0.044	-0.069	-0.077
1.733	-0.349	-0.046	0.053	-0.034
1.800	-0.343	-0.048	0.112	-0.049
1.867	-0.334	-0.053	0.097	-0.054
1.933	-0.330	-0.056	0.063	-0.000
2.000	-0.326	-0.053	0.058	-0.029
2.067	-0.323	-0.060	0.024	-0.083
2.133	-0.323	-0.064	0.009	-0.054
2.200	-0.321	-0.067	-0.000	-0.039
2.267	-0.323	-0.069	0.000	0.034
2.333	-0.321	-0.062	0.078	0.068
2.400	-0.312	-0.060	0.112	0.009
2.467	-0.306	-0.061	0.049	-0.029
2.533	-0.306	-0.064	-0.073	-0.048
2.600	-0.316	-0.067	-0.273	-0.023
2.667	-0.342	-0.067	-0.569	-0.007
2.733	-0.392	-0.068	-0.905	-0.088
2.800	-0.463	-0.079	-1.183	-0.193
2.867	-0.550	-0.094	-1.301	-0.417
2.933	-0.636	-0.135	-1.180	-0.549
3.000	-0.707	-0.167	-1.057	-0.296
3.067	-0.777	-0.174	-0.754	-0.064
3.133	-0.808	-0.176	-0.307	-0.091
3.200	-0.818	-0.186	-0.093	-0.073
3.267	-0.820	-0.185	0.025	0.053
3.333	-0.815	-0.179	0.073	0.053
3.400	-0.810	-0.178	0.034	-0.000
3.467	-0.810	-0.179	-0.009	0.054
3.533	-0.812	-0.171	0.025	0.092
3.600	-0.807	-0.167	0.049	0.029
3.667	-0.805	-0.167	0.044	-0.020
3.733	-0.801	-0.169	-0.000	-0.068
3.800	-0.805	-0.176	0.034	-0.107
3.867	-0.797	-0.184	0.126	-0.030
3.933	-0.788	-0.180	0.170	0.033
4.000	-0.774	-0.179	0.463	0.071
4.067	-0.727	-0.171	0.848	0.229
4.133	-0.661	-0.149	1.077	0.291
4.200	-0.583	-0.132	1.266	0.212
4.267	-0.492	-0.120	1.290	0.169
4.333	-0.411	-0.110	0.964	0.175
4.400	-0.364	-0.097	0.511	0.070
4.467	-0.343	-0.100	0.228	-0.060
4.533	-0.333	-0.105	0.068	-0.112
4.600	-0.334	-0.115	-0.015	-0.107
4.667	-0.335	-0.119	-0.010	-0.039
4.733	-0.335	-0.120	-0.014	0.029
4.800	-0.337	-0.115	0.005	0.053
4.867	-0.335	-0.113	0.020	0.063
4.933	-0.335	-0.107	0.030	0.073
5.000	-0.331	-0.104	0.039	0.029
5.067	-0.329	-0.103	-0.005	0.005
5.133	-0.331	-0.103	0.005	-0.015
5.200	-0.329	-0.105	0.029	-0.010
5.267	-0.327	-0.104		
