masse_A
t	x	y	v_{y}	v_{x}
0.533	0.003	0.024		
0.600	0.003	0.008	-0.180	0.040
0.667	0.008	0.000	-0.080	0.060
0.733	0.011	-0.003	-0.010	0.020
0.800	0.011	-0.001	0.050	0.070
0.867	0.020	0.004	0.110	-0.010
0.933	0.009	0.013	0.090	-0.050
1.000	0.013	0.016	0.060	0.010
1.067	0.011	0.021	0.090	-0.000
1.133	0.013	0.028	0.100	-0.030
1.200	0.007	0.035	0.120	-0.100
1.267	0.000	0.044	0.080	-0.310
1.333	-0.035	0.045	0.110	-0.400
1.400	-0.053	0.059	0.260	-0.390
1.467	-0.087	0.080	0.340	-0.640
1.533	-0.139	0.104	0.290	-0.740
1.600	-0.185	0.119	0.180	-0.770
1.667	-0.241	0.128	0.180	-0.900
1.733	-0.305	0.143	0.180	-0.920
1.800	-0.364	0.152	0.030	-0.760
1.867	-0.407	0.147	-0.110	-0.460
1.933	-0.425	0.137	-0.250	-0.240
2.000	-0.439	0.113	-0.380	-0.100
2.067	-0.439	0.087	-0.390	-0.010
2.133	-0.440	0.061	-0.300	-0.020
2.200	-0.441	0.047	-0.230	0.060
2.267	-0.432	0.031	-0.310	0.120
2.333	-0.425	0.005	-0.130	0.060
2.400	-0.424	0.013	0.180	0.020
2.467	-0.423	0.029	0.150	0.030
2.533	-0.420	0.033	0.080	0.050
2.600	-0.416	0.040	0.110	0.050
2.667	-0.413	0.048	0.170	0.050
2.733	-0.409	0.063	0.210	0.030
2.800	-0.409	0.076	0.120	-0.020
2.867	-0.412	0.079	0.070	-0.010
2.933	-0.411	0.085	0.040	-0.000
3.000	-0.412	0.084	-0.270	-0.060
3.067	-0.419	0.049	-0.930	-0.420
3.133	-0.468	-0.040	-2.201	-0.700
3.200	-0.512	-0.244	-3.421	-0.520
3.267	-0.538	-0.496	-3.951	-0.110
3.333	-0.527	-0.771	-3.671	-0.160
3.400	-0.559	-0.986	-2.311	-0.150
3.467	-0.547	-1.079	-0.870	0.440
3.533	-0.500	-1.102	-0.240	0.420
3.600	-0.491	-1.111	-0.030	0.140
3.667	-0.481	-1.106	0.040	0.120
3.733	-0.475	-1.106	-0.030	0.170
3.800	-0.459	-1.110	-0.070	0.200
3.867	-0.448	-1.115	-0.070	0.090
3.933	-0.447	-1.119	0.020	0.040
4.000	-0.443	-1.112	0.060	0.090
4.067	-0.435	-1.111	0.080	0.140
4.133	-0.424	-1.102	0.080	0.160
4.200	-0.413	-1.100	0.040	0.100
4.267	-0.411	-1.096	0.250	0.010
4.333	-0.412	-1.067	0.720	-0.040
4.400	-0.416	-1.000	1.981	0.180
4.467	-0.388	-0.803	3.931	0.310
4.533	-0.375	-0.476	4.622	-0.190
4.600	-0.413	-0.187	3.491	-0.290
4.667	-0.413	-0.011	1.801	0.230
4.733	-0.383	0.053	0.580	0.190
4.800	-0.388	0.067	0.110	0.060
4.867	-0.375	0.068	0.050	0.040
4.933	-0.383	0.073	-0.120	-0.060
5.000	-0.383	0.052	-0.050	-0.030
5.067	-0.387	0.067	0.110	-0.030
5.133	-0.387	0.067	0.000	0.020
5.200	-0.384	0.067	-0.010	0.030
5.267	-0.383	0.065	0.010	-0.070
5.333	-0.393	0.068		
