masse_A
time	x	y	v_{x}	v_{y}
0.600	0.001	-0.022	0	0
0.667	0.006	-0.007	0.061	0.052
0.733	0.009	-0.015	0.017	-0.052
0.800	0.008	-0.014	-0.017	-0.035
0.867	0.007	-0.020	-0.009	-0.035
0.933	0.007	-0.019	0.009	0.009
1.000	0.008	-0.019	-0.044	-0.044
1.067	0.001	-0.025	-0.131	-0.061
1.133	-0.009	-0.027	-0.149	-0.044
1.200	-0.019	-0.031	-0.149	-0.070
1.267	-0.029	-0.036	-0.175	-0.105
1.333	-0.042	-0.045	-0.149	0.017
1.400	-0.049	-0.034	-0.157	0.157
1.467	-0.063	-0.024	-0.210	0.175
1.533	-0.077	-0.011	-0.245	0.184
1.600	-0.095	0.001	-0.455	0.131
1.667	-0.137	0.007	-0.560	-0.017
1.733	-0.170	-0.001	-0.542	-0.157
1.800	-0.210	-0.014	-0.594	-0.131
1.867	-0.249	-0.019	-0.612	0.009
1.933	-0.291	-0.013	-0.621	0.026
2.000	-0.332	-0.015	-0.594	-0.114
2.067	-0.371	-0.028	-0.490	-0.332
2.133	-0.397	-0.060	-0.376	-0.437
2.200	-0.421	-0.087	-0.219	-0.385
2.267	-0.427	-0.111	-0.052	-0.262
2.333	-0.428	-0.122	-0.000	-0.140
2.400	-0.427	-0.130	0.061	-0.044
2.467	-0.420	-0.127	0.122	0.052
2.533	-0.410	-0.123	0.157	0.157
2.600	-0.399	-0.106	0.114	0.236
2.667	-0.395	-0.091	0.026	0.201
2.733	-0.395	-0.080	0.026	0.157
2.800	-0.392	-0.070	0.044	0.105
2.867	-0.389	-0.066	0.009	0.079
2.933	-0.390	-0.060	-0.044	0.131
3.000	-0.395	-0.048	-0.096	0.079
3.067	-0.403	-0.049	-0.131	-0.166
3.133	-0.413	-0.070	-0.254	-0.551
3.200	-0.437	-0.123	-0.463	-0.997
3.267	-0.474	-0.203	-0.568	-1.399
3.333	-0.513	-0.309	-0.533	-1.705
3.400	-0.545	-0.430	-0.385	-1.967
3.467	-0.564	-0.571	-0.157	-2.133
3.533	-0.566	-0.715	0.122	-2.054
3.600	-0.548	-0.845	0.393	-1.941
3.667	-0.514	-0.974	0.402	-1.783
3.733	-0.494	-1.083	0.323	-1.460
3.800	-0.471	-1.168	0.332	-1.084
3.867	-0.450	-1.228	0.315	-0.629
3.933	-0.429	-1.252	0.315	-0.219
4.000	-0.408	-1.257	0.201	-0.061
4.067	-0.402	-1.260	0.070	0.000
4.133	-0.399	-1.257	0.026	0.026
4.200	-0.399	-1.257	-0.000	0.000
4.267	-0.399	-1.257	-0.000	0.009
4.333	-0.399	-1.256	-0.000	0.009
4.400	-0.399	-1.256	-0.000	0.035
4.467	-0.399	-1.251	-0.009	0.052
4.533	-0.400	-1.249	-0.052	0.009
4.600	-0.406	-1.250	-0.044	-0.009
4.667	-0.406	-1.250	-0.026	-0.017
4.733	-0.409	-1.252	-0.017	-0.035
4.800	-0.408	-1.255	0.052	0.017
4.867	-0.402	-1.250	0.140	0.157
4.933	-0.389	-1.234	0.175	0.560
5.000	-0.379	-1.175	0.035	1.084
5.067	-0.385	-1.089	-0.245	1.504
5.133	-0.411	-0.975	-0.393	1.941
5.200	-0.437	-0.830	-0.306	2.308
5.267	-0.452	-0.667	-0.114	2.614
5.333	-0.452	-0.482	0.026	2.658
5.400	-0.449	-0.313	0.087	2.238
5.467	-0.440	-0.183	0.070	1.434
5.533	-0.439	-0.122	0.070	0.656
5.600	-0.431	-0.096	0.035	0.262
5.667	-0.435	-0.087	-0.052	0.079
5.733	-0.438	-0.085	-0.061	0.079
5.800	-0.443	-0.076	-0.026	0.096
5.867	-0.442	-0.073	0.070	0.070
5.933	-0.433	-0.067	0.070	0.017
6.000	-0.432	-0.070	0.052	-0.009
6.067	-0.427	-0.068	0.035	-0.017
6.133	-0.428	-0.073	0.044	-0.052
6.200	-0.421	-0.075	0.017	-0.009
6.267	-0.425	-0.074	-0.175	0.140
6.333	-0.444	-0.056	-0.140	0.096
6.400	-0.444	-0.061		
