vecteur_A
time	angle
0.000	-119.5
0.033	-118.4
0.067	-118.3
0.100	-116.6
0.133	-118.0
0.167	-119.0
0.200	-115.8
0.233	-117.6
0.267	-118.7
0.300	-124.9
0.333	-126.1
0.367	-144.7
0.400	-166.0
0.433	171.6
0.467	145.3
0.500	115.5
0.533	93.1
0.567	84.2
0.600	85.3
0.633	81.3
0.667	77.1
0.700	71.6
0.733	68.7
0.767	70.7
0.800	73.1
0.833	71.9
0.867	71.2
0.900	72.9
0.933	73.2
0.967	72.4
1.000	73.2
1.033	71.8
1.067	71.7
1.100	71.9
1.133	72.1
1.167	73.4
1.200	104.4
1.233	126.0
1.267	147.2
1.300	-151.4
1.333	-139.0
1.367	-138.3
1.400	-129.4
