masse_A
time	x	y	v_{x}	v_{y}
0.000	0.428	0.202	0	0
0.067	0.423	0.204	-0.039	0.126
0.133	0.423	0.219	-0.039	0.181
0.200	0.418	0.228	-0.039	0.086
0.267	0.418	0.230	0.000	0.008
0.333	0.418	0.229	0.000	-0.024
0.400	0.418	0.227	-0.031	-0.133
0.467	0.414	0.212	-0.063	-0.141
0.533	0.409	0.208	-0.063	-0.110
0.600	0.405	0.197	-0.086	-0.188
0.667	0.398	0.183	-0.188	-0.314
0.733	0.380	0.155	-0.330	-0.353
0.800	0.354	0.136	-0.503	-0.361
0.867	0.313	0.107	-0.581	-0.298
0.933	0.276	0.096	-0.730	-0.188
1.000	0.216	0.082	-0.958	-0.086
1.067	0.149	0.085	-0.997	0.016
1.133	0.083	0.084	-0.903	-0.016
1.200	0.028	0.083	-0.722	-0.110
1.267	-0.014	0.069	-0.526	-0.228
1.333	-0.042	0.052	-0.267	-0.212
1.400	-0.049	0.041	-0.031	-0.251
1.467	-0.046	0.019	0.165	-0.236
1.533	-0.027	0.009	0.275	-0.165
1.600	-0.009	-0.003	0.228	-0.039
1.667	0.003	0.004	0.126	-0.055
1.733	0.007	-0.010	0.063	-0.181
1.800	0.012	-0.020	0.079	-0.165
1.867	0.018	-0.032	0.118	-0.188
1.933	0.027	-0.045	0.149	-0.212
2.000	0.038	-0.061	0.102	-0.181
2.067	0.041	-0.069	0.110	-0.086
2.133	0.052	-0.072	0.086	-0.024
2.200	0.052	-0.072	-0.008	-0.039
2.267	0.051	-0.077	-0.071	-0.055
2.333	0.043	-0.080	-0.165	0.024
2.400	0.029	-0.074	-0.558	0.173
2.467	-0.031	-0.057	-0.989	0.722
2.533	-0.103	0.022	-1.304	1.421
2.600	-0.205	0.133	-1.602	1.869
2.667	-0.316	0.271	-1.492	2.560
2.733	-0.404	0.474	-0.832	3.125
2.800	-0.427	0.688	0.157	3.259
2.867	-0.383	0.909	0.746	3.125
2.933	-0.328	1.105	1.429	2.646
3.000	-0.193	1.262	2.160	1.900
3.067	-0.040	1.358	1.767	0.997
3.133	0.043	1.395	1.037	0.408
3.200	0.098	1.412	0.628	0.188
3.267	0.127	1.420	0.220	0.110
3.333	0.128	1.427	0.008	0.047
3.400	0.128	1.426	-0.016	-0.016
3.467	0.126	1.425	-0.016	-0.008
3.533	0.126	1.425	0.008	-0.031
3.600	0.127	1.421	0.008	-0.031
3.667	0.127	1.421	0.024	-0.000
3.733	0.130	1.421	0.024	0.031
3.800	0.130	1.425	-0.008	0.008
3.867	0.129	1.422	-0.016	-0.039
3.933	0.128	1.420	-0.086	-0.024
4.000	0.117	1.419	-0.393	-0.094
4.067	0.075	1.407	-0.746	-0.267
4.133	0.018	1.383	-1.209	-0.683
4.200	-0.086	1.316	-1.586	-1.335
4.267	-0.194	1.205	-1.563	-2.034
4.333	-0.294	1.045	-1.209	-2.552
4.400	-0.355	0.865	-0.573	-3.188
4.467	-0.371	0.620	0.353	-3.722
4.533	-0.308	0.369	1.115	-3.322
4.600	-0.222	0.177	1.539	-2.379
4.667	-0.103	0.051	1.531	-1.523
4.733	-0.018	-0.026	1.249	-0.864
4.800	0.064	-0.064	0.825	-0.393
4.867	0.092	-0.079	0.369	-0.173
4.933	0.113	-0.087	0.126	-0.031
5.000	0.109	-0.083	-0.039	0.079
5.067	0.108	-0.076	0.000	0.071
5.133	0.109	-0.073	0.008	0.024
5.200	0.109	-0.073	-0.008	0.024
5.267	0.108	-0.070	-0.008	0.024
5.333	0.108	-0.070	-0.008	0.016
5.400	0.107	-0.068	-0.024	0.094
5.467	0.105	-0.058	-0.008	0.220
5.533	0.106	-0.039	-0.024	0.149
5.600	0.102	-0.038	-0.031	0.047
5.667	0.102	-0.032	0.016	0.039
5.733	0.104	-0.032		
