masse_A
t	y	v_{x}	x	v_{y}
0.267	-0.007		-0.011	
0.333	-0.008	-0.029	-0.014	-0.069
0.400	-0.016	-0.029	-0.015	-0.137
0.467	-0.026	-0.024	-0.018	-0.093
0.533	-0.028	-0.005	-0.018	0.000
0.600	-0.026	-0.005	-0.018	0.049
0.667	-0.022	-0.020	-0.018	0.054
0.733	-0.019	-0.039	-0.021	0.113
0.800	-0.007	-0.069	-0.024	0.186
0.867	0.006	-0.142	-0.030	0.220
0.933	0.023	-0.186	-0.043	0.269
1.000	0.042	-0.294	-0.055	0.304
1.067	0.063	-0.446	-0.082	0.308
1.133	0.083	-0.588	-0.114	0.299
1.200	0.103	-0.764	-0.160	0.215
1.267	0.111	-0.930	-0.216	0.098
1.333	0.116	-1.009	-0.284	-0.005
1.400	0.111	-0.901	-0.351	0.005
1.467	0.117	-0.705	-0.404	0.073
1.533	0.121	-0.509	-0.445	0.171
1.600	0.140	-0.294	-0.472	0.279
1.667	0.158	-0.010	-0.484	0.250
1.733	0.173	0.157	-0.473	0.196
1.800	0.184	0.215	-0.463	0.093
1.867	0.185	0.206	-0.445	0.064
1.933	0.192	0.137	-0.436	0.108
2.000	0.200	0.113	-0.426	0.142
2.067	0.211	0.122	-0.421	0.166
2.133	0.222	0.147	-0.410	0.186
2.200	0.236	0.122	-0.401	0.215
2.267	0.251	0.083	-0.394	0.186
2.333	0.261	0.029	-0.390	0.083
2.400	0.262	0.049	-0.390	0.098
2.467	0.274	0.024	-0.383	0.142
2.533	0.281	-0.034	-0.387	0.069
2.600	0.283	-0.157	-0.388	-0.044
2.667	0.275	-0.588	-0.408	-0.274
2.733	0.247	-1.067	-0.466	-0.764
2.800	0.173	-1.415	-0.550	-1.410
2.867	0.059	-1.533	-0.655	-1.875
2.933	-0.077	-1.278	-0.754	-2.473
3.000	-0.271	-0.823	-0.825	-3.080
3.067	-0.488	-0.078	-0.864	-3.325
3.133	-0.714	0.783	-0.836	-3.006
3.200	-0.889	1.777	-0.759	-2.590
3.267	-1.060	2.150	-0.599	-1.866
3.333	-1.137	1.621	-0.473	-0.881
3.400	-1.177	1.033	-0.383	-0.446
3.467	-1.197	0.558	-0.335	-0.211
3.533	-1.205	0.206	-0.308	-0.108
3.600	-1.211	0.024	-0.308	-0.020
3.667	-1.208	0.020	-0.305	0.049
3.733	-1.205	0.015	-0.305	0.039
3.800	-1.203	-0.015	-0.303	0.000
3.867	-1.205	-0.010	-0.307	-0.024
3.933	-1.206	0.044	-0.304	-0.015
4.000	-1.207	0.020	-0.301	-0.020
4.067	-1.209	-0.015	-0.302	0.000
4.133	-1.207	-0.029	-0.303	0.010
4.200	-1.207	-0.132	-0.306	0.029
4.267	-1.203	-0.348	-0.321	0.078
4.333	-1.197	-0.700	-0.352	0.250
4.400	-1.169	-1.112	-0.414	0.583
4.467	-1.119	-1.435	-0.500	1.107
4.533	-1.022	-1.567	-0.605	1.748
4.600	-0.886	-1.229	-0.709	2.404
4.667	-0.701	-0.720	-0.769	3.036
4.733	-0.481	0.044	-0.805	3.609
4.800	-0.220	0.974	-0.763	3.516
4.867	-0.013	1.474	-0.675	2.571
4.933	0.123	1.562	-0.567	1.670
5.000	0.210	1.327	-0.467	0.955
5.067	0.250	0.930	-0.390	0.480
5.133	0.274	0.548	-0.343	0.240
5.200	0.282	0.162	-0.317	0.059
5.267	0.282	-0.083	-0.321	-0.024
5.333	0.279	-0.044	-0.328	-0.044
5.400	0.276	0.005	-0.327	-0.049
5.467	0.272	-0.015	-0.327	-0.073
5.533	0.266	-0.034	-0.329	-0.093
5.600	0.260	-0.010	-0.332	-0.113
5.667	0.251	0.010	-0.330	-0.103
5.733	0.246	-0.029	-0.330	-0.034
5.800	0.247	-0.054	-0.334	-0.010
5.867	0.245	-0.034	-0.338	-0.069
5.933	0.237	0.029	-0.339	-0.039
6.000	0.239		-0.334	
