masse_A
t;x;y
2,377000000E0;4,213390268E-1;-1,593222336E-1
2,410000000E0;4,232326854E-1;-1,630185094E-1
2,443000000E0;4,232326854E-1;-1,630185094E-1
2,476000000E0;4,232326854E-1;-1,630185094E-1
2,509000000E0;4,122348992E-1;-1,779856952E-1
2,542000000E0;4,158947585E-1;-1,723775526E-1
2,575000000E0;4,288590363E-1;-1,685356107E-1
2,608000000E0;4,251627604E-1;-1,704292693E-1
2,641000000E0;4,251627604E-1;-1,704292693E-1
2,674000000E0;4,270200025E-1;-1,704110610E-1
2,707000000E0;4,270200025E-1;-1,704110610E-1
2,740000000E0;4,270746272E-1;-1,759827871E-1
2,773000000E0;4,197002839E-1;-1,816273463E-1
2,806000000E0;4,286515093E-1;-1,760677026E-1
2,839000000E0;4,281459020E-1;-1,765833219E-1
2,872000000E0;4,281525767E-1;-1,772641397E-1
2,905000000E0;4,279857096E-1;-1,776062172E-1
2,938000000E0;4,279923843E-1;-1,782870349E-1
2,971000000E0;4,273479645E-1;-1,809211362E-1
3,004000000E0;4,244598080E-1;-1,809494515E-1
3,037000000E0;4,244503696E-1;-1,799867327E-1
3,070000000E0;4,244503696E-1;-1,799867327E-1
3,103000000E0;4,244503696E-1;-1,799867327E-1
3,136000000E0;4,244503696E-1;-1,799867327E-1
3,169000000E0;4,244503696E-1;-1,799867327E-1
3,202000000E0;4,244503696E-1;-1,799867327E-1
3,234000000E0;4,244503696E-1;-1,799867327E-1
3,267000000E0;4,157481465E-1;-1,762208032E-1
3,300000000E0;4,175697615E-1;-1,656120193E-1
3,333000000E0;4,194951992E-1;-1,655931425E-1
3,365000000E0;4,204673564E-1;-1,665464229E-1
3,398000000E0;4,205051101E-1;-1,703972981E-1
3,431000000E0;4,205051101E-1;-1,703972981E-1
3,464000000E0;4,205051101E-1;-1,703972981E-1
3,530000000E0;4,204767948E-1;-1,675091417E-1
3,596000000E0;4,204579180E-1;-1,655837040E-1
3,629000000E0;4,242616012E-1;-1,607323563E-1
3,662000000E0;4,271120040E-1;-1,568531657E-1
3,728000000E0;4,290091263E-1;-1,539461324E-1
3,761000000E0;4,318689675E-1;-1,510296607E-1
3,794000000E0;4,318689675E-1;-1,510296607E-1
3,827000000E0;4,318500907E-1;-1,491042230E-1
3,860000000E0;4,337472131E-1;-1,461971897E-1
3,893000000E0;4,346721782E-1;-1,423368760E-1
3,926000000E0;4,365787390E-1;-1,403925615E-1
3,959000000E0;4,384852998E-1;-1,384482471E-1
4,059000000E0;4,422512293E-1;-1,297460240E-1
4,125000000E0;4,470176314E-1;-1,248852378E-1
4,191000000E0;4,622606794E-1;-1,083680031E-1
4,390000000E0;4,689430806E-1;-1,025256212E-1
4,423000000E0;4,718312371E-1;-1,024973060E-1
4,456000000E0;4,776075500E-1;-1,024406754E-1
4,489000000E0;4,842805128E-1;-9,563557476E-2
4,522000000E0;4,822984446E-1;-8,987813867E-2
4,555000000E0;4,832422866E-1;-8,794326261E-2
4,588000000E0;4,870459698E-1;-8,309191482E-2
4,621000000E0;4,995046840E-1;-7,719290243E-2
4,654000000E0;5,014112448E-1;-7,524858795E-2
4,687000000E0;5,042805244E-1;-7,329483505E-2
4,720000000E0;5,110006793E-1;-7,130332847E-2
4,753000000E0;5,176925190E-1;-6,642366542E-2
4,786000000E0;5,253753927E-1;-6,442272042E-2
4,819000000E0;5,320766708E-1;-6,050577619E-2
4,852000000E0;5,320106018E-1;-5,376674444E-2
4,885000000E0;5,338794090E-1;-4,797155467E-2
4,918000000E0;5,454037196E-1;-4,497013717E-2
4,984000000E0;5,511045251E-1;-3,721175608E-2
5,017000000E0;5,597312408E-1;-3,327593501E-2
5,050000000E0;5,702739558E-1;-2,835851829E-2
5,083000000E0;5,731337970E-1;-2,544204656E-2
5,116000000E0;5,750214809E-1;-2,157229444E-2
5,149000000E0;5,855736343E-1;-1,761759653E-2
5,182000000E0;5,913216320E-1;-1,467280955E-2
5,215000000E0;5,960880340E-1;-9,812023344E-3
5,248000000E0;6,008638744E-1;-5,913955959E-3
5,281000000E0;6,075745909E-1;-2,959730556E-3
5,314000000E0;6,113877125E-1;9,288984099E-4
5,347000000E0;6,296888085E-1;1,455095649E-4
5,380000000E0;6,373339286E-1;5,997329853E-3
5,413000000E0;6,401843314E-1;9,876520398E-3
5,446000000E0;6,488016087E-1;1,477506028E-2
5,479000000E0;6,583910432E-1;1,872031977E-2
5,512000000E0;6,641296025E-1;2,262782557E-2
5,545000000E0;6,797117712E-1;2,867570006E-2
5,578000000E0;6,867167346E-1;3,090647886E-2
5,611000000E0;6,969433453E-1;3,533094513E-2
5,644000000E0;7,028726600E-1;3,701065269E-2
5,676000000E0;7,152399705E-1;4,361820891E-2
5,709000000E0;7,233205825E-1;4,640005896E-2
5,742000000E0;7,319522658E-1;4,810626032E-2
5,775000000E0;7,421947728E-1;5,090930542E-2
5,807000000E0;7,508211573E-1;5,315598051E-2
5,840000000E0;7,626850854E-1;5,597492190E-2
5,873000000E0;7,713167688E-1;5,768112326E-2
5,906000000E0;7,788675046E-1;5,937672711E-2
5,939000000E0;7,885801354E-1;6,109352599E-2
5,972000000E0;8,015568035E-1;6,068022256E-2
6,005000000E0;8,058646970E-1;6,234403383E-2
6,038000000E0;8,161125027E-1;6,460660520E-2
6,070000000E0;8,285698922E-1;6,202610811E-2
6,103000000E0;8,383249131E-1;5,941911720E-2
6,136000000E0;8,442754228E-1;5,893692986E-2
6,169000000E0;8,707533365E-1;5,973704292E-2
6,302000000E0;8,875875034E-1;5,179419868E-2
6,335000000E0;8,962509793E-1;5,025755770E-2
6,368000000E0;9,017404967E-1;4,166296573E-2
6,401000000E0;9,217910121E-1;3,645428268E-2
6,501000000E0;9,272593345E-1;3,002158561E-2
6,534000000E0;9,354035317E-1;2,631775096E-2
6,567000000E0;9,386834654E-1;2,256622747E-2
6,600000000E0;9,474158252E-1;1,400342807E-2
6,699000000E0;9,533875300E-1;1,135934583E-2
6,732000000E0;9,534087250E-1;9,197450930E-3
6,765000000E0;9,523595701E-1;5,944011060E-3
6,798000000E0;9,523807652E-1;3,782116163E-3
6,831000000E0;9,523807652E-1;3,782116163E-3
6,864000000E0;9,534935052E-1;5,498713403E-4
6,897000000E0;9,540392777E-1;1,469637796E-5
6,929000000E0;9,534935052E-1;5,498713403E-4
6,962000000E0;9,523754664E-1;4,322589887E-3
